,carat,cut,color,clarity,depth,table,price,x,y,z
34663,0.31,Premium,E,VS2,61.6,59.0,872,4.35,4.32,2.67
35449,0.32,Ideal,E,VS2,62.1,55.0,900,4.4,4.36,2.72
35569,0.35,Ideal,F,VS2,61.4,54.0,906,4.58,4.54,2.8
36447,0.31,Ideal,D,VS2,62.1,54.0,942,4.37,4.33,2.7
36479,0.43,Ideal,G,VS1,61.9,55.0,943,4.84,4.86,3.0
36547,0.4,Premium,F,SI1,62.5,59.0,945,4.71,4.67,2.93
36652,0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53
36866,0.42,Ideal,E,VS2,62.4,55.0,958,4.79,4.83,3.0
37175,0.32,Ideal,D,VS2,61.6,56.0,972,4.4,4.37,2.7
37377,0.4,Premium,F,VS1,61.4,58.0,982,4.73,4.75,2.91
37497,0.53,Premium,E,SI2,59.9,58.0,984,5.31,5.27,3.17
37498,0.53,Premium,E,SI2,62.2,57.0,984,5.2,5.16,3.22
37744,0.5,Premium,D,SI2,62.9,58.0,997,5.06,5.01,3.17
37997,0.43,Ideal,G,VS1,61.9,55.0,1008,4.86,4.84,3.0
38390,0.42,Ideal,E,VS2,62.4,55.0,1024,4.83,4.79,3.0
38507,0.5,Fair,F,SI2,65.5,54.0,1031,5.06,4.92,3.25
38573,0.4,Premium,H,VS1,62.6,58.0,1035,4.71,4.68,2.94
38636,0.31,Very Good,H,VS2,63.0,57.0,489,4.32,4.34,2.73
38729,0.4,Ideal,G,VVS1,62.3,54.0,1043,4.75,4.76,2.96
38867,0.4,Premium,F,VS1,61.4,58.0,1050,4.75,4.73,2.91
38923,0.51,Premium,F,SI2,58.1,59.0,1052,5.26,5.24,3.05
39058,0.57,Premium,E,SI2,62.5,54.0,1058,5.35,5.3,3.33
39129,0.41,Premium,G,VS2,61.4,59.0,1061,4.79,4.75,2.93
39235,0.32,Ideal,D,VVS1,61.8,56.0,1067,4.39,4.41,2.72
39360,0.52,Premium,F,SI2,62.7,57.0,1073,5.11,5.07,3.19
39443,0.52,Premium,G,SI2,58.4,62.0,1076,5.33,5.28,3.1
39512,0.32,Ideal,E,VVS2,62.3,56.0,1080,4.4,4.37,2.73
40096,0.33,Ideal,G,VVS1,62.0,56.0,1114,4.48,4.45,2.77
40464,0.32,Ideal,D,VVS1,61.8,56.0,1140,4.41,4.39,2.72
41124,0.6,Premium,D,SI2,62.0,57.0,1196,5.43,5.35,3.34
41676,0.33,Ideal,F,IF,61.2,56.0,1240,4.47,4.49,2.74
41798,0.6,Very Good,E,SI2,63.2,60.0,1250,5.32,5.28,3.35
42111,0.34,Ideal,F,IF,61.7,55.0,1276,4.49,4.52,2.78
42983,0.41,Ideal,G,IF,61.7,56.0,1367,4.77,4.8,2.95
43261,0.3,Very Good,J,VS1,63.4,57.0,506,4.26,4.23,2.69
43425,0.35,Fair,G,VS2,65.9,54.0,1415,5.57,5.53,3.66
43500,0.54,Ideal,E,SI1,61.3,56.0,1422,5.22,5.25,3.21
43570,0.41,Ideal,G,IF,61.7,56.0,1431,4.8,4.77,2.95
46568,0.71,Good,E,SI2,57.5,58.0,1783,5.91,5.89,3.39
46648,0.3,Very Good,G,VS2,63.0,55.0,526,4.29,4.31,2.71
47069,0.52,Ideal,D,VS2,61.8,55.0,1822,5.16,5.19,3.2
47296,0.3,Good,J,VS1,63.4,57.0,394,4.23,4.26,2.69
47969,0.52,Ideal,D,VS2,61.8,55.0,1919,5.19,5.16,3.2
49326,0.51,Ideal,F,VVS2,61.2,56.0,2093,5.17,5.19,3.17
49557,0.71,Good,F,SI2,64.1,60.0,2130,0.0,0.0,0.0
50079,0.51,Ideal,F,VVS2,61.2,56.0,2203,5.19,5.17,3.17
52861,0.5,Fair,E,VS2,79.0,73.0,2579,5.21,5.18,4.09
